id date age minVel slowVel type count correct incorrect corrected dropped percCorrect latency accuracy accuracyLast accuracyMost
10184 20120725 18.0 4 1 vgs 59 47 0 0 12 100 282 0.86 0.86 0.77
10184 20120725 18.0 4 4 vgs 59 48 0 0 11 100 296 1.18 1.18 0.97
10184 20120725 18.0 8 1 vgs 53 44 1 1 8 97.8 285 0.94 0.94 0.82
10184 20120725 18.0 8 4 vgs 53 44 1 1 8 97.8 303 1.2 1.2 1.01
10184 20130918 19.8 4 1 vgs 60 49 0 0 11 100 246 0.73 0.73 0.7
10184 20130918 19.8 4 4 vgs 60 51 0 0 9 100 262 1.04 1.04 0.96
10184 20130918 19.8 8 1 vgs 51 38 1 1 12 97.4 242 0.89 0.89 0.87
10184 20130918 19.8 8 4 vgs 51 39 1 2 11 97.5 258 1.25 1.25 1.17
10252 20060504 11.791 4 1 vgs 18 18 0 0 0 100 180 0.56 0.56 0.56
10252 20060504 11.791 4 4 vgs 18 18 0 0 0 100 199 0.72 0.72 0.72
10252 20060504 11.791 8 1 vgs 17 17 0 0 0 100 178 0.58 0.58 0.58
10252 20060504 11.791 8 4 vgs 17 17 0 0 0 100 197 0.74 0.74 0.69
10252 20070628 12.808 4 1 vgs 60 35 3 7 22 92.1 225 1.17 1.17 0.88
10252 20070628 12.808 4 4 vgs 60 37 4 14 19 90.2 246 1.33 1.33 1.08
10252 20070628 12.808 8 1 vgs 58 38 4 2 16 90.5 211 1.4 1.4 1.17
10252 20070628 12.808 8 4 vgs 58 39 4 3 15 90.7 233 1.52 1.52 1.12
10252 20080626 13.808 4 1 vgs 59 47 1 1 11 97.9 228 1.4 1.4 1.33
10252 20080626 13.808 4 4 vgs 59 49 1 1 9 98 246 1.6 1.6 1.5
10252 20080626 13.808 8 1 vgs 49 38 1 1 10 97.4 242 1.45 1.45 1.4
10252 20080626 13.808 8 4 vgs 49 38 1 1 10 97.4 259 1.64 1.64 1.53
10252 20090513 14.800 4 1 vgs 39 29 4 2 6 87.9 187 1.12 1.12 1.03
10252 20090513 14.800 4 4 vgs 39 31 2 3 6 93.9 207 1.4 1.4 1.26
10252 20090513 14.800 8 1 vgs 33 23 4 2 6 85.2 175 1.27 1.27 1.18
10252 20090513 14.800 8 4 vgs 33 23 3 5 7 88.5 195 1.47 1.47 1.37
10252 20110412 16.791 4 1 vgs 59 48 2 2 9 96 184 1.32 1.32 1.18
10252 20110412 16.791 4 4 vgs 59 49 3 3 7 94.2 213 1.52 1.52 1.17
10252 20110412 16.791 8 1 vgs 54 40 2 1 12 95.2 184 1.44 1.44 1.21
10252 20110412 16.791 8 4 vgs 54 41 3 2 10 93.2 209 1.53 1.53 1.22
10335 20060828 10.0 4 1 vgs 34 31 0 2 3 100 245 0.77 0.77 0.59
10335 20060828 10.0 4 4 vgs 34 33 0 2 1 100 262 0.97 0.97 0.64
10335 20060828 10.0 8 1 vgs 17 16 0 1 1 100 256 0.84 0.84 0.84
10335 20060828 10.0 8 4 vgs 17 15 0 1 2 100 278 0.8 0.8 0.78
10335 20070703 10.816 4 1 vgs 58 45 2 2 11 95.7 206 0.91 0.91 0.66
10335 20070703 10.816 4 4 vgs 58 49 3 3 6 94.2 221 1.18 1.18 0.68
10335 20070703 10.816 8 1 vgs 52 43 1 2 8 97.7 208 0.89 0.89 0.75
10335 20070703 10.816 8 4 vgs 52 44 1 2 7 97.8 227 1.03 1.03 0.83
10335 20081013 12.8 4 1 vgs 60 56 0 0 4 100 180 0.75 0.75 0.74
10335 20081013 12.8 4 4 vgs 60 57 0 0 3 100 201 1.03 1.03 0.91
10335 20081013 12.8 8 1 vgs 59 55 0 0 4 100 182 0.81 0.81 0.73
10335 20081013 12.8 8 4 vgs 59 56 0 0 3 100 202 1.07 1.07 1.02
10335 20090624 12.816 4 1 vgs 60 51 2 2 7 96.2 193 0.61 0.61 0.61
10335 20090624 12.816 4 4 vgs 60 53 1 1 6 98.1 212 0.75 0.75 0.73
10335 20090624 12.816 8 1 vgs 58 52 2 2 4 96.3 192 0.62 0.62 0.59
10335 20090624 12.816 8 4 vgs 58 53 1 1 4 98.1 212 0.73 0.73 0.71
10335 20100526 13.808 4 1 vgs 60 55 1 1 4 98.2 183 0.74 0.74 0.63
10335 20100526 13.808 4 4 vgs 60 57 2 2 1 96.6 198 1.01 1.01 0.72
10335 20100526 13.808 8 1 vgs 59 56 1 1 2 98.2 182 0.83 0.83 0.66
10335 20100526 13.808 8 4 vgs 59 56 2 2 1 96.6 201 1.1 1.1 0.87
10128 20060706 18.783 4 1 vgs 34 13 0 0 21 100 209 0.55 0.55 0.55
10128 20060706 18.783 4 4 vgs 34 12 0 0 22 100 240 0.64 0.64 0.64
10128 20060706 18.783 8 1 vgs 34 16 0 0 18 100 246 0.62 0.62 0.62
10128 20060706 18.783 8 4 vgs 34 16 0 0 18 100 269 0.89 0.89 0.89
10128 20070808 19.791 4 1 vgs 60 55 1 0 4 98.2 242 1.11 1.11 1.11
10128 20070808 19.791 4 4 vgs 60 55 1 0 4 98.2 258 1.3 1.3 1.3
10128 20070808 19.791 8 1 vgs 60 52 0 0 8 100 237 1.11 1.11 1.11
10128 20070808 19.791 8 4 vgs 60 52 0 0 8 100 253 1.31 1.31 1.3
10128 20080910 20.800 4 1 vgs 58 46 1 0 11 97.9 336 1.18 1.18 1.14
10128 20080910 20.800 4 4 vgs 58 45 1 0 12 97.8 359 1.29 1.29 1.26
10128 20080910 20.800 8 1 vgs 52 42 2 2 8 95.5 344 1.16 1.16 1.12
10128 20080910 20.800 8 4 vgs 53 43 2 3 8 95.6 362 1.36 1.36 1.32
10128 20090827 21.800 4 1 vgs 60 56 2 1 2 96.6 262 0.88 0.88 0.81
10128 20090827 21.800 4 4 vgs 60 56 3 4 1 94.9 284 0.86 0.86 0.8
10128 20090827 21.800 8 1 vgs 59 54 2 1 3 96.4 267 0.88 0.88 0.86
10128 20090827 21.800 8 4 vgs 59 53 2 2 4 96.4 284 0.85 0.85 0.83
10128 20120418 24.766 4 1 vgs 60 58 0 0 2 100 343 0.74 0.74 0.74
10128 20120418 24.766 4 4 vgs 60 60 0 0 0 100 372 0.95 0.95 0.89
10128 20120418 24.766 8 1 vgs 59 52 0 0 7 100 347 0.75 0.75 0.75
10128 20120418 24.766 8 4 vgs 59 53 0 0 6 100 369 0.97 0.97 0.9
10128 20130522 25.775 4 1 vgs 59 39 2 0 18 95.1 363 0.99 0.99 0.93
10128 20130522 25.775 4 4 vgs 59 39 5 9 15 88.6 380 1.11 1.11 1
10128 20130522 25.775 8 1 vgs 56 41 2 2 13 95.3 357 1.04 1.04 0.95
10128 20130522 25.775 8 4 vgs 56 42 4 2 10 91.3 373 1.12 1.12 1.01
10311 20070517 21.8 4 1 vgs 60 53 1 2 6 98.1 206 1.21 1.21 1.15
10311 20070517 21.8 4 4 vgs 60 54 1 2 5 98.2 227 1.37 1.37 1.31
10311 20070517 21.8 8 1 vgs 60 56 0 0 4 100 206 1.18 1.18 1.16
10311 20070517 21.8 8 4 vgs 60 56 0 0 4 100 227 1.34 1.34 1.33
10311 20080514 22.8 4 1 vgs 60 59 0 0 1 100 190 1.17 1.17 1.17
10311 20080514 22.8 4 4 vgs 60 59 0 0 1 100 208 1.21 1.21 1.21
10311 20080514 22.8 8 1 vgs 58 51 0 0 7 100 186 1.13 1.13 1.13
10311 20080514 22.8 8 4 vgs 58 51 0 0 7 100 203 1.18 1.18 1.18
10311 20090420 23.0 4 1 vgs 60 53 0 0 7 100 189 0.81 0.81 0.76
10311 20090420 23.0 4 4 vgs 60 53 1 2 6 98.1 212 1.1 1.1 0.97
10311 20090420 23.0 8 1 vgs 56 48 1 2 7 98 178 0.87 0.87 0.84
10311 20090420 23.0 8 4 vgs 56 48 1 2 7 98 197 0.99 0.99 0.89
10311 20100908 24.41 4 1 vgs 60 56 0 0 4 100 169 0.58 0.58 0.54
10311 20100908 24.41 4 4 vgs 60 53 0 0 7 100 186 0.72 0.72 0.62
10311 20100908 24.41 8 1 vgs 60 53 0 0 7 100 167 0.67 0.67 0.58
10311 20100908 24.41 8 4 vgs 60 53 0 0 7 100 183 0.82 0.82 0.7
10311 20121211 26.66 4 1 vgs 60 40 1 0 19 97.6 175 1.7 1.7 1.65
10311 20121211 26.66 4 4 vgs 60 42 2 0 16 95.5 196 1.77 1.77 1.71
10311 20121211 26.66 8 1 vgs 59 37 0 0 22 100 172 1.88 1.88 1.75
10311 20121211 26.66 8 4 vgs 59 39 1 0 19 97.5 191 1.85 1.85 1.75
10311 20130819 27.33 4 1 vgs 60 51 0 0 9 100 196 1.22 1.22 1.14
10311 20130819 27.33 4 4 vgs 60 55 0 0 5 100 216 1.41 1.41 1.23
10311 20130819 27.33 8 1 vgs 57 51 0 0 6 100 189 1.19 1.19 1.19
10311 20130819 27.33 8 4 vgs 57 51 0 0 6 100 214 1.37 1.37 1.29
10316 20070503 20.783 4 1 vgs 59 50 0 0 9 100 180 1.38 1.38 1.31
10316 20070503 20.783 4 4 vgs 59 50 0 0 9 100 200 1.65 1.65 1.36
10316 20070503 20.783 8 1 vgs 54 45 0 0 9 100 172 1.46 1.46 1.43
10316 20070503 20.783 8 4 vgs 54 46 0 0 8 100 191 1.68 1.68 1.48
10316 20080605 21.791 4 1 vgs 60 56 1 0 3 98.2 154 0.91 0.91 0.89
10316 20080605 21.791 4 4 vgs 60 57 1 0 2 98.3 168 1.01 1.01 0.96
10316 20080605 21.791 8 1 vgs 60 58 0 0 2 100 154 0.97 0.97 0.96
10316 20080605 21.791 8 4 vgs 60 58 0 0 2 100 168 1.02 1.02 1
10316 20090514 22.783 4 1 vgs 60 51 2 2 7 96.2 175 0.59 0.59 0.56
10316 20090514 22.783 4 4 vgs 60 56 2 2 2 96.6 195 1.16 1.16 0.86
10316 20090514 22.783 8 1 vgs 57 55 1 1 1 98.2 175 0.89 0.89 0.88
10316 20090514 22.783 8 4 vgs 57 55 1 1 1 98.2 197 1.31 1.31 1.22
10316 20100614 23.791 4 1 vgs 60 55 0 0 5 100 176 0.46 0.46 0.46
10316 20100614 23.791 4 4 vgs 60 56 0 0 4 100 192 0.84 0.84 0.7
10316 20100614 23.791 8 1 vgs 58 56 0 0 2 100 177 0.65 0.65 0.64
10316 20100614 23.791 8 4 vgs 58 56 0 0 2 100 194 0.87 0.87 0.84
10316 20120711 25.800 4 1 vgs 60 47 0 0 13 100 159 0.69 0.69 0.69
10316 20120711 25.800 4 4 vgs 60 47 1 1 12 97.9 179 0.8 0.8 0.76
10316 20120711 25.800 8 1 vgs 54 45 0 0 9 100 164 0.7 0.7 0.67
10316 20120711 25.800 8 4 vgs 54 45 0 0 9 100 184 0.78 0.78 0.74
10316 20130730 26.808 4 1 vgs 60 55 0 0 5 100 162 0.7 0.7 0.58
10316 20130730 26.808 4 4 vgs 60 54 0 0 6 100 185 0.6 0.6 0.53
10316 20130730 26.808 8 1 vgs 57 53 0 0 4 100 162 0.8 0.8 0.63
10316 20130730 26.808 8 4 vgs 57 54 0 0 3 100 183 0.67 0.67 0.59
10359 20061023 20.33 4 1 vgs 40 37 0 0 3 100 253 1.2 1.2 1.12
10359 20061023 20.33 4 4 vgs 40 37 0 0 3 100 273 1.32 1.32 1.19
10359 20061023 20.33 8 1 vgs 32 29 0 0 3 100 274 1.25 1.25 1.06
10359 20061023 20.33 8 4 vgs 32 28 0 0 4 100 293 1.3 1.3 1.08
10359 20070912 21.16 4 1 vgs 60 43 2 2 15 95.6 330 0.91 0.91 0.81
10359 20070912 21.16 4 4 vgs 60 45 2 2 13 95.7 356 1.25 1.25 0.92
10359 20070912 21.16 8 1 vgs 59 42 1 2 16 97.7 337 0.92 0.92 0.92
10359 20070912 21.16 8 4 vgs 59 43 1 2 15 97.7 356 1.15 1.15 1.11
10359 20090207 22.791 4 1 vgs 60 47 0 0 13 100 348 0.93 0.93 0.7
10359 20090207 22.791 4 4 vgs 60 53 0 0 7 100 372 1.33 1.33 1.06
10359 20090207 22.791 8 1 vgs 59 43 0 0 16 100 346 1.18 1.18 1.04
10359 20090207 22.791 8 4 vgs 60 45 0 0 15 100 366 1.46 1.46 1.32
10359 20091217 23.41 4 1 vgs 60 53 0 0 7 100 284 0.87 0.87 0.84
10359 20091217 23.41 4 4 vgs 60 57 0 0 3 100 299 0.91 0.91 0.83
10359 20091217 23.41 8 1 vgs 60 56 0 0 4 100 278 0.98 0.98 0.98
10359 20091217 23.41 8 4 vgs 60 57 1 1 2 98.3 299 0.99 0.99 0.99
10359 20101122 24.41 4 1 vgs 54 31 3 2 20 91.2 316 1.31 1.31 1.2
10359 20101122 24.41 4 4 vgs 55 31 4 4 20 88.6 292 1.23 1.23 1.15
10359 20101122 24.41 8 1 vgs 51 32 1 0 18 97 315 1.29 1.29 1.29
10359 20101122 24.41 8 4 vgs 51 30 1 0 20 96.8 344 1.18 1.18 1.16
10359 20121030 26.33 4 1 vgs 60 53 0 0 7 100 303 0.49 0.49 0.49
10359 20121030 26.33 4 4 vgs 60 55 0 0 5 100 318 0.66 0.66 0.66
10359 20121030 26.33 8 1 vgs 58 52 0 0 6 100 298 0.48 0.48 0.48
10359 20121030 26.33 8 4 vgs 58 52 0 0 6 100 316 0.66 0.66 0.66
10359 20131001 27.25 4 1 vgs 60 56 0 0 4 100 295 0.82 0.82 0.81
10359 20131001 27.25 4 4 vgs 60 57 0 0 3 100 311 0.9 0.9 0.84
10359 20131001 27.25 8 1 vgs 60 55 1 0 4 98.2 312 0.83 0.83 0.78
10359 20131001 27.25 8 4 vgs 60 56 1 0 3 98.2 327 0.93 0.93 0.81
10385 20061114 18.41 4 1 vgs 58 57 0 0 1 100 234 0.69 0.69 0.69
10385 20061114 18.41 4 4 vgs 58 57 0 0 1 100 250 0.92 0.92 0.92
10385 20061114 18.41 8 1 vgs 51 51 0 0 0 100 236 0.72 0.72 0.66
10385 20061114 18.41 8 4 vgs 51 51 0 0 0 100 252 0.85 0.85 0.81
10385 20071114 19.41 4 1 vgs 60 54 0 0 6 100 304 0.78 0.78 0.76
10385 20071114 19.41 4 4 vgs 60 56 0 0 4 100 321 1.07 1.07 0.99
10385 20071114 19.41 8 1 vgs 54 47 0 0 7 100 299 0.75 0.75 0.75
10385 20071114 19.41 8 4 vgs 54 48 0 0 6 100 314 1.02 1.02 1.02
10385 20081217 20.50 4 1 vgs 60 56 0 0 4 100 280 0.81 0.81 0.73
10385 20081217 20.50 4 4 vgs 60 56 0 0 4 100 297 1.01 1.01 0.9
10385 20081217 20.50 8 1 vgs 57 49 0 0 8 100 287 0.78 0.78 0.76
10385 20081217 20.50 8 4 vgs 57 49 0 0 8 100 304 0.98 0.98 0.97
